,Portfolio Vol
2010-04-02,0.01830399916049086
2010-04-09,0.017513361122739962
2010-04-16,0.01764469374329205
2010-04-23,0.017549082946654714
2010-04-30,0.017911951511548473
2010-05-07,0.01867387362101167
2010-05-14,0.019365784855695425
2010-05-21,0.020618381783396457
2010-05-28,0.02084787587324238
2010-06-04,0.024589206161948887
2010-06-11,0.025479017689986918
2010-06-18,0.025544895400764985
2010-06-25,0.02535947903006787
2010-07-02,0.025878072758338252
2010-07-09,0.023082011347529876
2010-07-16,0.02323421289395995
2010-07-23,0.023209624424976368
2010-07-30,0.022892116628483495
2010-08-06,0.02311275785643492
2010-08-13,0.022854120841238997
2010-08-20,0.022857460108979943
2010-08-27,0.022810282677974598
2010-09-03,0.023917371218928233
2010-09-10,0.023871106977626767
2010-09-17,0.023835057193147872
2010-09-24,0.022955560368359877
2010-10-01,0.022766422410613652
2010-10-08,0.01870927637072468
2010-10-15,0.018076815684336858
2010-10-22,0.017764154331087415
2010-10-29,0.018451320215867557
2010-11-05,0.017550914906742744
2010-11-12,0.018721685160271635
2010-11-19,0.01813002742505082
2010-11-26,0.01806303941461431
2010-12-03,0.018776150590035484
2010-12-10,0.02090599400454798
2010-12-17,0.021486358943520727
2010-12-24,0.02151754562796139
2010-12-31,0.021951470888453523
2011-01-07,0.022793363379889717
2011-01-14,0.022375961332919327
2011-01-21,0.023134253684034257
2011-01-28,0.022998673415558592
2011-02-04,0.023122528591655898
2011-02-11,0.02277852312452092
2011-02-18,0.022764943330201116
2011-02-25,0.023462463198403373
2011-03-04,0.027968680721833658
2011-03-11,0.027506365551609117
2011-03-18,0.027110668540671463
2011-03-25,0.026790404576428718
2011-04-01,0.027328744834913054
2011-04-08,0.02725081138527744
2011-04-15,0.026201495672478432
2011-04-22,0.025451218191092948
2011-04-29,0.025566572815066763
2011-05-06,0.02510681606811915
2011-05-13,0.02391524419195013
2011-05-20,0.02412768840746507
2011-05-27,0.023609987539564805
2011-06-03,0.025932012427154063
2011-06-10,0.025661791017918576
2011-06-17,0.025285959484272383
2011-06-24,0.025341702674193563
2011-07-01,0.025285715593516746
2011-07-08,0.02106122804032378
2011-07-15,0.021169530979876998
2011-07-22,0.021277053237391104
2011-07-29,0.02205236817424681
2011-08-05,0.02213235379100354
2011-08-12,0.022552856209718437
2011-08-19,0.02270975821369897
2011-08-26,0.022603490820100495
2011-09-02,0.022538000248196435
2011-09-09,0.022280709947568797
2011-09-16,0.023267741065757568
2011-09-23,0.023866157461394675
2011-09-30,0.02373678609214496
2011-10-07,0.02090851136873595
2011-10-14,0.020980031746267343
2011-10-21,0.020732403512526393
2011-10-28,0.020549917288709637
2011-11-04,0.02011563795461009
2011-11-11,0.01842617831909102
2011-11-18,0.01868350059454372
2011-11-25,0.018459488194468934
2011-12-02,0.018659599291669143
2011-12-09,0.016974897936600276
2011-12-16,0.016046479078844766
2011-12-23,0.01598257588352057
2011-12-30,0.016113340849823306
2012-01-06,0.01590522570054325
2012-01-13,0.016034188955417177
2012-01-20,0.014562162907259365
2012-01-27,0.01404625996714911
2012-02-03,0.013640766384315498
2012-02-10,0.013845895973441326
2012-02-17,0.013919914204428903
2012-02-24,0.013986351709792188
2012-03-02,0.014506480558109078
2012-03-09,0.01383575930366699
2012-03-16,0.015062333325961182
2012-03-23,0.014658072504617837
2012-03-30,0.014488607439663119
2012-04-06,0.012930444439978048
2012-04-13,0.01290055324628334
2012-04-20,0.012612105996144858
2012-04-27,0.013033659673511997
2012-05-04,0.012924953627693844
2012-05-11,0.013036424968485238
2012-05-18,0.013227326803515559
2012-05-25,0.013402660878812549
2012-06-01,0.013202758702367737
2012-06-08,0.013237816996356433
2012-06-15,0.013827765984801328
2012-06-22,0.01371492179022585
2012-06-29,0.013809862541379015
2012-07-06,0.01324522347754779
2012-07-13,0.013137677905654026
2012-07-20,0.012176693931299895
2012-07-27,0.011913109175676291
2012-08-03,0.012070489097427204
2012-08-10,0.010875351996574564
2012-08-17,0.010830031953341672
2012-08-24,0.011053628880678507
2012-08-31,0.011023056243423443
2012-09-07,0.011157838298757706
2012-09-14,0.01137636167068313
2012-09-21,0.010975385506873206
2012-09-28,0.010931429743771159
2012-10-05,0.010866038153918685
2012-10-12,0.010923345037107055
2012-10-19,0.010399461124567655
2012-10-26,0.010175414268095106
2012-11-02,0.010319678802983444
2012-11-09,0.009997448057895134
2012-11-16,0.009811256744918855
2012-11-23,0.00975284118753237
2012-11-30,0.008858334233384531
2012-12-07,0.008943480733364886
2012-12-14,0.008625172234939315
2012-12-21,0.008285457734419908
2012-12-28,0.00797323507935192
2013-01-04,0.008045349173023185
2013-01-11,0.007917424196699935
2013-01-18,0.008636852520661821
2013-01-25,0.009032383785798036
2013-02-01,0.009019682199044686
2013-02-08,0.008901795566671759
2013-02-15,0.009194993197853612
2013-02-22,0.008867006795281794
2013-03-01,0.008851016623122538
2013-03-08,0.008632164180814613
2013-03-15,0.008391626434698722
2013-03-22,0.008408700582513895
2013-03-29,0.008293698060012535
2013-04-05,0.008314974429033742
2013-04-12,0.00813295698594967
2013-04-19,0.008080970198916999
2013-04-26,0.008314261093152114
2013-05-03,0.0085175640730693
2013-05-10,0.00810510699179511
2013-05-17,0.008078886337106543
2013-05-24,0.007521840368959045
2013-05-31,0.007310992947230513
2013-06-07,0.008545445446147713
2013-06-14,0.009585019789163157
2013-06-21,0.012762575459020566
2013-06-28,0.014366479015535933
2013-07-05,0.01461450475922128
2013-07-12,0.015189989524238475
2013-07-19,0.01535484973896038
2013-07-26,0.01554873684577455
2013-08-02,0.015716762016094135
2013-08-09,0.015646113928237348
2013-08-16,0.01607322381734215
2013-08-23,0.016438103585606576
2013-08-30,0.016513938430016348
2013-09-06,0.01865442970798184
2013-09-13,0.0190619416358996
2013-09-20,0.020057377424132664
2013-09-27,0.020070787922656992
2013-10-04,0.019948430427686323
2013-10-11,0.01917728210522875
2013-10-18,0.019254476627612576
2013-10-25,0.01737167055903919
2013-11-01,0.016190438494840618
2013-11-08,0.015177296715575172
2013-11-15,0.014495678191933852
2013-11-22,0.014548281415103675
2013-11-29,0.014478594167901464
2013-12-06,0.015572953838258016
2013-12-13,0.016123942389750266
2013-12-20,0.015810205214672964
2013-12-27,0.01550131932576157
2014-01-03,0.015349334661410348
2014-01-10,0.013797378628321633
2014-01-17,0.013536388600428583
2014-01-24,0.01188959726289482
2014-01-31,0.012374819165734293
2014-02-07,0.012848727231529675
2014-02-14,0.012703803465937817
2014-02-21,0.012587814107731285
2014-02-28,0.01242076840445211
2014-03-07,0.014495069310321925
2014-03-14,0.014506509210173598
2014-03-21,0.015488336452030621
2014-03-28,0.015591724382309671
2014-04-04,0.01565977101634999
2014-04-11,0.014646915435690893
2014-04-18,0.01418829964108043
2014-04-25,0.014030312334093777
2014-05-02,0.014344912894984073
2014-05-09,0.014350646540039853
2014-05-16,0.013659487284653703
2014-05-23,0.01344176070155192
2014-05-30,0.013521632199905919
2014-06-06,0.01342221856095314
2014-06-13,0.012630780360188018
2014-06-20,0.012626080644506718
2014-06-27,0.012730457118846631
2014-07-04,0.012577632791581084
2014-07-11,0.010429454566013819
2014-07-18,0.010106864067338153
2014-07-25,0.008469088277378786
2014-08-01,0.008382091785931217
2014-08-08,0.00826109719635155
2014-08-15,0.008414315773674892
2014-08-22,0.007984569601290974
2014-08-29,0.008242849480206524
2014-09-05,0.00807117488374892
2014-09-12,0.007953515985782698
2014-09-19,0.007617164473085653
2014-09-26,0.00778794016374092
2014-10-03,0.00796495300633201
2014-10-10,0.008533127435835921
2014-10-17,0.008468642000846318
2014-10-24,0.008281012966086704
2014-10-31,0.008741469371694446
2014-11-07,0.008830932230057155
2014-11-14,0.008790755936455208
2014-11-21,0.009232096107930804
2014-11-28,0.009211530050091028
2014-12-05,0.009235940930029555
2014-12-12,0.00926537106990055
2014-12-19,0.008765168644263415
2014-12-26,0.008756545059542088
2015-01-02,0.008368900833459503
2015-01-09,0.008115739044140282
2015-01-16,0.008911000426977487
2015-01-23,0.008687168576102865
2015-01-30,0.008934752656503779
2015-02-06,0.008578525411803097
2015-02-13,0.007972124473931882
2015-02-20,0.008660206947766489
2015-02-27,0.008549093948145839
2015-03-06,0.01316413701085587
2015-03-13,0.012934383675702682
2015-03-20,0.013642292407043824
2015-03-27,0.013321754504512473
2015-04-03,0.013375042327821945
2015-04-10,0.013413462788246476
2015-04-17,0.013400013785584463
2015-04-24,0.013389362113524133
2015-05-01,0.014621405110417453
2015-05-08,0.014873076288149063
2015-05-15,0.015079729965278298
2015-05-22,0.014317259539330546
2015-05-29,0.014454368187792202
2015-06-05,0.015086609456873679
2015-06-12,0.015699678214254782
2015-06-19,0.015567875244821908
2015-06-26,0.01535631406852854
2015-07-03,0.014892131195641986
2015-07-10,0.010566869124172784
2015-07-17,0.010850522241347152
2015-07-24,0.009887701500324413
2015-07-31,0.0099243639645881
2015-08-07,0.009933640739418815
2015-08-14,0.009813274008946743
2015-08-21,0.00969433531942841
2015-08-28,0.01014428847694825
2015-09-04,0.009662295502065205
2015-09-11,0.009359053796434081
2015-09-18,0.009270483097563273
2015-09-25,0.009277090199063878
2015-10-02,0.009575896127385693
2015-10-09,0.008948912290883758
2015-10-16,0.008770943209029783
2015-10-23,0.011333598697203693
2015-10-30,0.011093317069995638
2015-11-06,0.011279627540387352
2015-11-13,0.011486760060357197
2015-11-20,0.01138004194200208
2015-11-27,0.011651972869899144
2015-12-04,0.016452492280946297
2015-12-11,0.016536483518635393
2015-12-18,0.01668917497590507
2015-12-25,0.016682743653742373
2016-01-01,0.016645605612690594
2016-01-08,0.015039170137423308
2016-01-15,0.014828513589091862
2016-01-22,0.013549703128027274
2016-01-29,0.014749562586096282
2016-02-05,0.014585748810275835
2016-02-12,0.015170739499170055
2016-02-19,0.015521101150721531
2016-02-26,0.014673192682026819
2016-03-04,0.014501109504473444
2016-03-11,0.015075879817047234
2016-03-18,0.01621927472147588
2016-03-25,0.016403885878695575
2016-04-01,0.017299042166532778
2016-04-08,0.012592442945256133
2016-04-15,0.012679124139979916
2016-04-22,0.012560623472383963
2016-04-29,0.013116835986203864
2016-05-06,0.013325769696726946
2016-05-13,0.0131789848334465
2016-05-20,0.013597163417348611
2016-05-27,0.01395502565427364
2016-06-03,0.013578200040363784
2016-06-10,0.013375933603572381
2016-06-17,0.013475220020357481
2016-06-24,0.012951268986889272
2016-07-01,0.012898217304042926
2016-07-08,0.012872319685520193
2016-07-15,0.010663279525261355
2016-07-22,0.010313661112548967
2016-07-29,0.010449650853181246
2016-08-05,0.010538544506477754
2016-08-12,0.010864631225601551
2016-08-19,0.010789092590154337
2016-08-26,0.010867934774024755
2016-09-02,0.010733233126337428
2016-09-09,0.011962145382947072
2016-09-16,0.012186455606247563
2016-09-23,0.011926337339428297
2016-09-30,0.01167481883127299
2016-10-07,0.010564450597662933
2016-10-14,0.010806177724966427
2016-10-21,0.010551028904511647
2016-10-28,0.011182239301647351
2016-11-04,0.011005867056853576
2016-11-11,0.010980927560884446
2016-11-18,0.011215350419968503
2016-11-25,0.012001937728756445
2016-12-02,0.014047819251343126
2016-12-09,0.014326307190531523
2016-12-16,0.01415174134304121
2016-12-23,0.014362412400327266
2016-12-30,0.014223027378580548
2017-01-06,0.013309418000617506
2017-01-13,0.012162314234466684
2017-01-20,0.011987710556734973
2017-01-27,0.012068923096752731
2017-02-03,0.012054210006581198
2017-02-10,0.012821502195329267
2017-02-17,0.012922292788424352
2017-02-24,0.013232859374410664
2017-03-03,0.01690603052576941
2017-03-10,0.016831879913877877
2017-03-17,0.01629635559401941
2017-03-24,0.0165633862694875
2017-03-31,0.01662774932643615
2017-04-07,0.014938055856955828
2017-04-14,0.013955446010527025
2017-04-21,0.01330092151802454
2017-04-28,0.013061913532559515
2017-05-05,0.013171644309005835
2017-05-12,0.013283953071105232
2017-05-19,0.01334480270590486
2017-05-26,0.013352138832894553
2017-06-02,0.013278610929741183
2017-06-09,0.013402363315609945
2017-06-16,0.014069727915945608
2017-06-23,0.01398638841115854
2017-06-30,0.015137451842625643
2017-07-07,0.01235305559868289
2017-07-14,0.012713628543632975
2017-07-21,0.012045321920986521
2017-07-28,0.012198278283096673
2017-08-04,0.01184166278593137
2017-08-11,0.011182532442928257
2017-08-18,0.011183250475348754
2017-08-25,0.010997419506227072
2017-09-01,0.012240490019946492
2017-09-08,0.012761474483530042
2017-09-15,0.012575995139746858
2017-09-22,0.01257040868264057
2017-09-29,0.012361338265736174
2017-10-06,0.012381423267438485
2017-10-13,0.01239735419530394
2017-10-20,0.011477839384675378
2017-10-27,0.012161059298117238
2017-11-03,0.010651031176938984
2017-11-10,0.010875269920045018
2017-11-17,0.010405607252948312
2017-11-24,0.01041971230776413
2017-12-01,0.010818494867449593
2017-12-08,0.010326740433987557
2017-12-15,0.010787172032336343
2017-12-22,0.010882937038067031
2017-12-29,0.010689827217545368
2018-01-05,0.009311292293516883
