,Portfolio Vol
2018-10-05,0.0648967203810834
2018-10-12,0.08411081695554738
2018-10-19,0.08560810567119578
2018-10-26,0.08721593612726028
2018-11-02,0.08776506857771676
2018-11-09,0.08894303396655688
2018-11-16,0.08703840686418586
2018-11-23,0.08835058410656839
2018-11-30,0.09214621107314196
2018-12-07,0.0971675286199339
2018-12-14,0.10000448917061283
2018-12-21,0.10732715398588202
2018-12-28,0.11729541410159322
2019-01-04,0.12388136778400263
2019-01-11,0.12486519521916269
2019-01-18,0.12857730452426375
2019-01-25,0.12893000419369996
2019-02-01,0.12921624732013143
2019-02-08,0.1297318186054735
2019-02-15,0.11816587031596347
2019-02-22,0.11545357794349007
2019-03-01,0.11314817765978945
2019-03-08,0.11244412192949353
2019-03-15,0.11308377289146668
2019-03-22,0.11323736961156475
2019-03-29,0.11356322933411359
2019-04-05,0.11069237414822111
2019-04-12,0.10474984950269672
2019-04-19,0.10209066811229038
2019-04-26,0.0898408207337952
2019-05-03,0.07714983427073697
2019-05-10,0.07452130085774097
2019-05-17,0.0766227356496802
2019-05-24,0.07255039802207798
2019-05-31,0.07426888299024027
2019-06-07,0.07192206144091441
2019-06-14,0.0711804426828289
2019-06-21,0.07199406315757172
2019-06-28,0.07434682540070382
2019-07-05,0.07750425486735806
2019-07-12,0.0765205402130516
2019-07-19,0.07470462966519396
2019-07-26,0.07622427758638532
2019-08-02,0.07619126477999366
2019-08-09,0.09471814469671179
2019-08-16,0.10030191060079385
2019-08-23,0.10511317478929914
2019-08-30,0.10633893862407585
2019-09-06,0.10542672815911584
2019-09-13,0.10321983340236915
2019-09-20,0.10099219694824553
2019-09-27,0.10021683680099737
2019-10-04,0.10575162859647182
2019-10-11,0.10656546388114985
2019-10-18,0.10643089757689157
2019-10-25,0.10490662596877472
2019-11-01,0.10346918582606945
2019-11-08,0.10064400922055923
2019-11-15,0.10081955902037427
2019-11-22,0.10112026811896002
2019-11-29,0.10055453246541395
2019-12-06,0.10101455413131688
2019-12-13,0.08278023656052502
2019-12-20,0.07738179628743769
2019-12-27,0.07016820129036515
2020-01-03,0.0687702010043565
2020-01-10,0.06934724371676075
2020-01-17,0.06875882867057323
2020-01-24,0.06853316452590456
2020-01-31,0.07618576599996803
2020-02-07,0.07138437532956889
2020-02-14,0.07091214714095458
2020-02-21,0.07228064982740956
2020-02-28,0.12624933986525935
2020-03-06,0.15384672242067862
2020-03-13,0.26243167102243975
2020-03-20,0.3255273154613635
2020-03-27,0.36678959350574586
2020-04-03,0.37367726591659656
2020-04-10,0.3865528261376836
2020-04-17,0.39063008984073144
2020-04-24,0.3944698959237127
2020-05-01,0.39941211300413076
